project_id;cost;real_votes;real_rank;predicted_votes;predicted_rank;city;prediction_type
296;50000.0;93;94;64.76077256285244;127;Toulouse;ML/PVM
402;20000.0;92;95;91.33517514543423;92;Toulouse;ML/PVM
405;150000.0;91;96;193.70233441491752;26;Toulouse;ML/PVM
278;80000.0;91;96;145.38093160678724;53;Toulouse;ML/PVM
224;4000.0;90;98;38.79404013275119;170;Toulouse;ML/PVM
285;1000.0;88;99;52.28544235928799;153;Toulouse;ML/PVM
373;250000.0;87;100;42.14799366146093;167;Toulouse;ML/PVM
393;250000.0;86;101;186.12357539425727;31;Toulouse;ML/PVM
231;40000.0;83;102;34.150908278458864;175;Toulouse;ML/PVM
314;40000.0;83;102;62.04826417324751;135;Toulouse;ML/PVM
292;40000.0;82;104;59.86296988556781;143;Toulouse;ML/PVM
316;187200.0;81;105;111.64749125432532;79;Toulouse;ML/PVM
383;50000.0;79;106;107.93375687167868;82;Toulouse;ML/PVM
339;100000.0;79;106;99.14992008241094;89;Toulouse;ML/PVM
329;200000.0;79;106;189.5051808283276;27;Toulouse;ML/PVM
241;30000.0;78;109;59.40838219293235;144;Toulouse;ML/PVM
377;145000.0;78;109;147.05040921496544;51;Toulouse;ML/PVM
375;5000.0;77;111;62.95346423419198;134;Toulouse;ML/PVM
255;50000.0;73;112;70.31174727782278;114;Toulouse;ML/PVM
325;250000.0;73;112;380.6525124126879;3;Toulouse;ML/PVM
366;1000.0;73;112;51.54984926066463;154;Toulouse;ML/PVM
352;50000.0;71;115;92.9877277547202;91;Toulouse;ML/PVM
283;50000.0;69;116;66.60785596664799;124;Toulouse;ML/PVM
337;10000.0;69;116;70.21141096500978;115;Toulouse;ML/PVM
349;250000.0;68;118;210.6071393598112;22;Toulouse;ML/PVM
293;3240.0;68;118;41.60656631584386;168;Toulouse;ML/PVM
387;40000.0;66;120;57.1076475644175;148;Toulouse;ML/PVM
348;100000.0;63;121;102.74654470640768;87;Toulouse;ML/PVM
227;10000.0;62;122;29.64910150837393;176;Toulouse;ML/PVM
268;100000.0;61;123;265.1407440624067;16;Toulouse;ML/PVM
378;204000.0;60;124;203.18175142518135;24;Toulouse;ML/PVM
323;50000.0;60;124;146.50959859097125;52;Toulouse;ML/PVM
341;70000.0;59;126;58.172223915517584;146;Toulouse;ML/PVM
306;250000.0;59;126;270.3584802647449;15;Toulouse;ML/PVM
284;30000.0;57;128;60.31842498147646;141;Toulouse;ML/PVM
401;800.0;56;129;77.94920446234217;101;Toulouse;ML/PVM
396;150000.0;55;130;134.49641640794732;58;Toulouse;ML/PVM
362;60000.0;55;130;69.75378537500745;116;Toulouse;ML/PVM
264;10000.0;54;132;151.43989398268053;50;Toulouse;ML/PVM
381;31500.0;54;132;74.65720116109591;108;Toulouse;ML/PVM
261;10000.0;53;134;178.1261894740335;34;Toulouse;ML/PVM
237;20000.0;53;134;57.46066546557115;147;Toulouse;ML/PVM
310;40000.0;53;134;73.00219594178859;113;Toulouse;ML/PVM
358;250000.0;51;137;177.5915471695699;35;Toulouse;ML/PVM
226;233500.0;51;137;111.49186652619736;80;Toulouse;ML/PVM
303;40000.0;51;137;116.89112217197057;74;Toulouse;ML/PVM
369;150000.0;50;140;19.496239393994525;178;Toulouse;ML/PVM
376;31500.0;50;140;67.47186153333843;122;Toulouse;ML/PVM
262;4000.0;50;140;160.70995820375904;45;Toulouse;ML/PVM
254;5000.0;48;143;44.01010550482332;164;Toulouse;ML/PVM
403;250000.0;48;143;281.2476584796455;13;Toulouse;ML/PVM
338;70000.0;47;145;64.6059930686563;128;Toulouse;ML/PVM
326;25000.0;47;145;161.59266163922356;44;Toulouse;ML/PVM
280;1500.0;47;145;46.11759242402664;161;Toulouse;ML/PVM
360;250000.0;46;148;172.04690207610838;38;Toulouse;ML/PVM
347;60000.0;42;149;83.20920593934963;98;Toulouse;ML/PVM
385;250.0;40;150;86.59949339473378;95;Toulouse;ML/PVM
307;10000.0;40;150;77.81201972848984;102;Toulouse;ML/PVM
318;50000.0;39;152;59.94211275525866;142;Toulouse;ML/PVM
266;1000.0;36;153;188.79448804469823;29;Toulouse;ML/PVM
353;20000.0;35;154;49.62896184736122;157;Toulouse;ML/PVM
398;50000.0;35;154;121.42387963632956;68;Toulouse;ML/PVM
365;20000.0;34;156;45.71027323072636;162;Toulouse;ML/PVM
240;10000.0;33;157;64.80663778324212;126;Toulouse;ML/PVM
234;15000.0;32;158;67.77796703778084;120;Toulouse;ML/PVM
238;195000.0;32;158;153.08614164803316;48;Toulouse;ML/PVM
297;50000.0;32;158;73.78091134999248;110;Toulouse;ML/PVM
355;110000.0;30;161;103.35498357905657;86;Toulouse;ML/PVM
340;20000.0;30;161;47.41279506530236;160;Toulouse;ML/PVM
354;35000.0;30;161;86.14881003884389;96;Toulouse;ML/PVM
248;150000.0;30;161;68.23193549977528;119;Toulouse;ML/PVM
302;10000.0;29;165;74.43096266038155;109;Toulouse;ML/PVM
342;35000.0;29;165;67.25391148770429;123;Toulouse;ML/PVM
386;360.0;29;165;85.15151549828528;97;Toulouse;ML/PVM
228;15000.0;28;168;37.10104939827292;171;Toulouse;ML/PVM
257;5000.0;28;168;51.07528453156501;155;Toulouse;ML/PVM
233;10000.0;28;168;73.29898397900511;112;Toulouse;ML/PVM
399;80000.0;28;168;170.48320572938383;39;Toulouse;ML/PVM
253;1000.0;28;168;59.23554608850584;145;Toulouse;ML/PVM
368;30000.0;27;173;11.27509731785736;181;Toulouse;ML/PVM
371;65000.0;25;174;14.44425097607613;180;Toulouse;ML/PVM
259;30000.0;24;175;63.61554808056315;131;Toulouse;ML/PVM
244;150000.0;24;175;114.16126914318406;76;Toulouse;ML/PVM
367;150000.0;23;177;25.07717939101334;177;Toulouse;ML/PVM
330;10000.0;23;177;53.30448813069413;152;Toulouse;ML/PVM
372;5000.0;20;179;10.01304499268133;183;Toulouse;ML/PVM
356;240000.0;19;180;175.53323620595006;37;Toulouse;ML/PVM
230;6000.0;19;180;35.95548940313374;174;Toulouse;ML/PVM
370;85000.0;18;182;15.498553786871296;179;Toulouse;ML/PVM
374;3000.0;17;183;10.99311428509404;182;Toulouse;ML/PVM
10;900000.0;10857;1;766.1367522864318;38;Wroclaw;ML/PVM
50;1000000.0;10796;2;4799.068932248246;6;Wroclaw;ML/PVM
18;750000.0;8640;3;5393.763586087883;4;Wroclaw;ML/PVM
18;1000000.0;8640;3;5393.763586087883;4;Wroclaw;ML/PVM
675;1000000.0;5398;4;4321.217676625657;10;Wroclaw;ML/PVM
260;70000.0;4998;5;296.97958164536993;49;Wroclaw;ML/PVM
550;1000000.0;4468;6;4786.739669927316;7;Wroclaw;ML/PVM
12;1000000.0;4149;7;1477.4505490809593;27;Wroclaw;ML/PVM
159;1000000.0;4098;8;3704.994639597409;13;Wroclaw;ML/PVM
656;1000000.0;4008;9;1084.5267095286074;30;Wroclaw;ML/PVM
499;1000000.0;3949;10;3543.812897406514;14;Wroclaw;ML/PVM
751;1000000.0;3788;11;6487.8091559758095;2;Wroclaw;ML/PVM
451;1000000.0;3368;12;5202.234103117938;5;Wroclaw;ML/PVM
284;100000.0;3362;13;953.6391566034658;33;Wroclaw;ML/PVM
345;1000000.0;2484;14;4098.036621507254;12;Wroclaw;ML/PVM
41;1000000.0;2123;15;5544.356098867145;3;Wroclaw;ML/PVM
16;430000.0;2113;16;299.6206553557945;48;Wroclaw;ML/PVM
716;1000000.0;2098;17;3170.2543127647555;15;Wroclaw;ML/PVM
590;1000000.0;2001;18;7208.425337120414;1;Wroclaw;ML/PVM
43;1000000.0;1973;19;4252.159135699224;11;Wroclaw;ML/PVM
46;1000000.0;1839;20;2517.554899205644;18;Wroclaw;ML/PVM
514;250000.0;1737;21;650.7522555675829;41;Wroclaw;ML/PVM
553;1000000.0;1724;22;4416.97946447565;9;Wroclaw;ML/PVM
68;750000.0;1705;23;1841.221189168952;20;Wroclaw;ML/PVM
608;1000000.0;1613;24;4509.516087620819;8;Wroclaw;ML/PVM
258;750000.0;1566;25;889.9034290348507;34;Wroclaw;ML/PVM
555;1000000.0;1512;26;3073.50285625249;16;Wroclaw;ML/PVM
83;650000.0;1455;27;788.458999418884;37;Wroclaw;ML/PVM
680;500000.0;1358;28;1646.789629230241;23;Wroclaw;ML/PVM
372;350000.0;1331;29;855.124632571446;35;Wroclaw;ML/PVM
688;100000.0;1092;30;566.4493910732425;43;Wroclaw;ML/PVM
668;750000.0;1060;31;3005.1674295992448;17;Wroclaw;ML/PVM
685;560000.0;990;32;1584.646612642895;24;Wroclaw;ML/PVM
685;250000.0;990;32;1584.646612642895;24;Wroclaw;ML/PVM
694;320000.0;943;33;1529.3076915272345;25;Wroclaw;ML/PVM
371;1000000.0;922;34;2491.608434154739;19;Wroclaw;ML/PVM
508;750000.0;882;35;1828.080318447771;21;Wroclaw;ML/PVM
346;250000.0;765;36;1345.0052137763942;28;Wroclaw;ML/PVM
358;350000.0;619;37;1479.361666318889;26;Wroclaw;ML/PVM
594;150000.0;587;38;1132.760254642244;29;Wroclaw;ML/PVM
