project_id;cost;votes;name;category;selected;district
710;1000000;13938;Drzewa dla Wrocławia - nasadzenia w całym mieście!;greenery/recreation;1;Kuźniki, Nowy Dwór, Muchobór Mały,Grabiszyn-Grabiszynek, Krzyki-Partynice, Oporów, Klecina
15;1000000;12348;"Zielona rowerowo-piesza obwodnica Wrocławia; Etap I - fragment łącznika Gaj, Wojszyce, Ołtaszyn, Partynice, Jagodno, Tarnogaj Krzyki, Borek.";walking/cycling infrastructure;1;Grabiszyn-Grabiszynek, Krzyki-Partynice, Oporów, Klecina
764;1000000;7291;Oświetlenie Parku Grabiszyńskiego (Alei Romera oraz ścieżek do Cmentarza Grabiszyńskiego i ul. Racławickiej wzdłuż polan);other;1;Grabiszyn-Grabiszynek, Krzyki-Partynice, Oporów, Klecina,Pilczyce-Kozanów-Popowice Płn., Gądów-Popowice Płd., Szczepin
685;560000;6663;Plac Zabaw dla Starszaków w parku Grabiszyńskim i coś ekstra dla maluchów;playgrounds;1;Huby, Gaj, Tarnogaj,Nadodrze, Ołbin, Stare Miasto, Plac Grunwaldzki, Przedmieście Świdnickie
379;750000;6383;"Parking przy ""Dobrzyńskiej"" - ułatwienie dojazdu wrocławian do największego w mieście centrum medycznego.";roads;1;Gajowice, Powstańców Śląskich, Borek
155;100000;5287;Posadzenie na terenie Wrocławia młodych drzew;greenery/recreation;1;Pilczyce-Kozanów-Popowice Płn., Gądów-Popowice Płd., Szczepin,Kuźniki, Nowy Dwór, Muchobór Mały
731;1000000;4799;Rowerowy Wrocław 2016 – ulice przyjazne rowerzystom;walking/cycling infrastructure;0;Zacisze-Zalesie-Szczytniki, Biskupin-Sępolno-Dąbie-Bartoszowice, Kowale, Strachocin-Swojczyce-Wojnów
201;1000000;3974;Stoły do ping – ponga i boiska do siatkówki w całym Wrocławiu.;sport;0;Leśnica, Maślice, Pracze Odrzańskie,Osobowice-Rędzin, Świniary, Lipa Piotrowska, Widawa, Polanowice-Poświętne-Ligota, Sołtysowice
18;750000;3632;Fontanna Neptuna na Placu Nowy Targ;other;0;Przedmieście Oławskie, Księże, Brochów, Bieńkowice
4;1000000;3243;Budowa nadbrzeża ze slipem dla przyszłej miejskiej przystani łodziowej;greenery/recreation;0;Ołtaszyn, Wojszyce, Jagodno
564;1000000;3099;Rowerowe połączenie Dworca Głównego z pl. Społecznym;walking/cycling infrastructure;0;Osobowice-Rędzin, Świniary, Lipa Piotrowska, Widawa, Polanowice-Poświętne-Ligota, Sołtysowice
337;1000000;3026;Park Jedności– miejska rekreacja;greenery/recreation;0;Leśnica, Maślice, Pracze Odrzańskie
532;1000000;3008;Rozbudowa bazy sportowej na wrocławskich Osobowicach - strefa sportu przy Szkole Podstawowej nr 21;education;0;Karłowice-Różanka, Kleczków
187;750000;2901;Wydłużenie pasa lewoskrętu w kierunku ulicy Lotniczej na skrzyżowaniu ulic Na Ostatnim Groszu i Legnickiej;roads;0;Ołtaszyn, Wojszyce, Jagodno,Nadodrze, Ołbin, Stare Miasto, Plac Grunwaldzki, Przedmieście Świdnickie
719;1000000;2260;Dokończenie trasy pieszo-rowerowej wokół Wielkiej Wyspy;walking/cycling infrastructure;0;Grabiszyn-Grabiszynek, Krzyki-Partynice, Oporów, Klecina
506;750000;2093;Poprawa infrastruktury sportowej dla dyscypliny Piłka Nożna;sport;0;Grabiszyn-Grabiszynek, Krzyki-Partynice, Oporów, Klecina
717;1000000;2081;Psie Pole bez korków;;0;Przedmieście Oławskie, Księże, Brochów, Bieńkowice,Huby, Gaj, Tarnogaj
145;650000;2070;Bezpieczne i przyjazne drogi we Wrocławiu - światła spowalniające zamiast fotoradarów w całym mieście;roads;0;Karłowice-Różanka, Kleczków,Leśnica, Maślice, Pracze Odrzańskie
26;430000;1924;Remont autobusu zabytkowego Fredruś;other;0;Grabiszyn-Grabiszynek, Krzyki-Partynice, Oporów, Klecina
378;550000;1912;Budowa wrocławskiej wypożyczalni rowerów integracyjnych typu handbike wraz z odpowiednim zapleczem socjalno-sanitarnym;walking/cycling infrastructure;0;Pawłowice, Psie Pole-Zawidawie,Nadodrze, Ołbin, Stare Miasto, Plac Grunwaldzki, Przedmieście Świdnickie
520;250000;1825;Bulwar Fizyków - etap 1: soczewki akustyczne, doświadczenie z falami dźwiękowymi w formie ogólnodostępnej instalacji;greenery/recreation;0;Huby, Gaj, Tarnogaj
300;1000000;1717;Wyciszenie nawierzchni na ul. Złotnickiej;roads;0;Pilczyce-Kozanów-Popowice Płn., Gądów-Popowice Płd., Szczepin
61;200000;1653;Uporządkowanie ruchu pojazdów na Ulicy Robotniczej w kierunku Placu Orląt Lwowskich;roads;0;Muchobór Wielki, Żerniki, Jerzmanowo-Jarnołtów-Strachowice-Osiniec
619;1000000;1644;Niewykorzystany potencjał Parku Skowroniego - rewitalizacja;greenery/recreation;0;Nadodrze, Ołbin, Stare Miasto, Plac Grunwaldzki, Przedmieście Świdnickie,Ołtaszyn, Wojszyce, Jagodno
728;500000;1619;Bajkowy Plac dla Dorosłych i Dzieci w Parku Skowronim;greenery/recreation;0;Pawłowice, Psie Pole-Zawidawie
524;750000;1608;Miejsca parkingowe (park & ride) przy pętli Pilczyce/Stadion Miejski;roads;0;Przedmieście Oławskie, Księże, Brochów, Bieńkowice
626;250000;1506;Stacje roweru miejskiego nextbike - Zakrzów - osiedle blokowe Wilanowska / Królewska;walking/cycling infrastructure;0;Przedmieście Oławskie, Księże, Brochów, Bieńkowice
543;250000;1441;Toaleta publiczna w Parku Wschodnim;greenery/recreation;0;Pawłowice, Psie Pole-Zawidawie
500;400000;1161;Kameralna scena na trawie w sercu Wyspy Słodowej;greenery/recreation;0;Pilczyce-Kozanów-Popowice Płn., Gądów-Popowice Płd., Szczepin
98;90000;1025;Nowa Gwiaździsta;roads;0;Gajowice, Powstańców Śląskich, Borek,Leśnica, Maślice, Pracze Odrzańskie
73;750000;983;Poprawa nawierzchni ulicy Bogedaina;roads;0;Gajowice, Powstańców Śląskich, Borek,Nadodrze, Ołbin, Stare Miasto, Plac Grunwaldzki, Przedmieście Świdnickie
559;200000;889;Błotniste pobocza ulic;roads;0;Grabiszyn-Grabiszynek, Krzyki-Partynice, Oporów, Klecina,Nadodrze, Ołbin, Stare Miasto, Plac Grunwaldzki, Przedmieście Świdnickie
283;100000;831;Ławeczki na przystankach;;0;Przedmieście Oławskie, Księże, Brochów, Bieńkowice
230;1000000;781;Remont ulicy Kamiennej - odcinek Tomaszowska - Borowska;roads;0;Kuźniki, Nowy Dwór, Muchobór Mały,Gajowice, Powstańców Śląskich, Borek
349;150000;718;Stacje roweru miejskiego NEXTBIKE Port Lotniczy Wrocław, CH Factory;walking/cycling infrastructure;0;Gajowice, Powstańców Śląskich, Borek
82;1000000;705;Podniesienie powierzchni peronów na rondzie Reagana;;0;Karłowice-Różanka, Kleczków,Nadodrze, Ołbin, Stare Miasto, Plac Grunwaldzki, Przedmieście Świdnickie
23;600000;699;Tablice rozkładowe na przystankach linii 2, 6, 7 i 17 oraz przystankach Uniwersytecka, Wita Stwosza, Dubois;;0;Pilczyce-Kozanów-Popowice Płn., Gądów-Popowice Płd., Szczepin
121;150000;648;Ścianka bulderingowa.;sport;0;Grabiszyn-Grabiszynek, Krzyki-Partynice, Oporów, Klecina
154;250000;619;Szachy plenerowe z figurami dużego gabarytu w centrum miasta;greenery/recreation;0;Muchobór Wielki, Żerniki, Jerzmanowo-Jarnołtów-Strachowice-Osiniec
228;700000;531;Remont ulicy Stawowej;roads;0;Osobowice-Rędzin, Świniary, Lipa Piotrowska, Widawa, Polanowice-Poświętne-Ligota, Sołtysowice
714;750000;526;Podwórze pomiędzy ulicami Prusa, Wyszyńskiego, Sępa Sarzyńskiego i Sienkiewicza;redevelopment;0;Nadodrze, Ołbin, Stare Miasto, Plac Grunwaldzki, Przedmieście Świdnickie
231;510000;522;Remont ulicy Glinianej - odcinek Ślężna - Borowska;roads;0;Zacisze-Zalesie-Szczytniki, Biskupin-Sępolno-Dąbie-Bartoszowice, Kowale, Strachocin-Swojczyce-Wojnów
686;1000000;494;Podniesienie peronów na Rondzie Reagana (Plac Grunwaldzki);;0;Przedmieście Oławskie, Księże, Brochów, Bieńkowice,Ołtaszyn, Wojszyce, Jagodno
275;85000;477;Frisbee Golf;greenery/recreation;0;Gajowice, Powstańców Śląskich, Borek,Kuźniki, Nowy Dwór, Muchobór Mały
74;750000;474;Poprawa nawierzchni ulicy Międzyleskiej;roads;0;Pawłowice, Psie Pole-Zawidawie
182;200000;474;Zintegrowany system informacji pasażerskiej w obrębie pl. Grunwaldzkiego;;0;Pawłowice, Psie Pole-Zawidawie
339;250000;436;Stacje roweru miejskiego NEXTBIKE na pętli autobusowej Nowy Dwór.;walking/cycling infrastructure;0;
480;250000;332;Zaułek na Stalowej. Chodniki i zieleń przy Stalowej (od Grabiszyńskiej do Mosięznej). Miejsca parkingowe. Renowacja Drogi.;redevelopment;0;Pilczyce-Kozanów-Popowice Płn., Gądów-Popowice Płd., Szczepin,Nadodrze, Ołbin, Stare Miasto, Plac Grunwaldzki, Przedmieście Świdnickie
398;40000;281;Cywilizacja na Wojszycach - Światło dla wszystkich - Zamontowanie miejskich latarni na ulicy Smardzowskiej w Europejskiej Stolicy Kultury;walking/cycling infrastructure;0;Zacisze-Zalesie-Szczytniki, Biskupin-Sępolno-Dąbie-Bartoszowice, Kowale, Strachocin-Swojczyce-Wojnów
94;500000;278;Remont sieci trakcyjnej na zajezdni Dąbie;other;0;Gajowice, Powstańców Śląskich, Borek,Ołtaszyn, Wojszyce, Jagodno
336;100000;245;Stacja Roweru Miejskiego NEXTBIKE Dworzec Świebodzki;walking/cycling infrastructure;0;Przedmieście Oławskie, Księże, Brochów, Bieńkowice
108;900000;120;Budowa sygnalizacji świetlnej na skrzyżowaniu przy Skwerze Pionierów Wrocławskich;roads;0;Leśnica, Maślice, Pracze Odrzańskie
